City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
536,takoradi,4.8845,-1.7554,27.09,85,98,2.49,GH,1715142314
537,ar rutbah,33.0381,40.2848,15.09,49,0,4.06,IQ,1715142314
538,kladanj,44.2264,18.6914,10.84,94,95,1.83,BA,1715142315
539,novodvinsk,64.4165,40.8122,-4.01,88,23,2.77,RU,1715142315
540,yakeshi,49.2833,120.7333,12.78,61,99,11.92,CN,1715142315
541,paris,48.8534,2.3488,10.28,89,0,3.6,FR,1715142163
542,tari,12.4086,4.4914,30.38,47,100,2.98,NG,1715142315
543,ustka,54.5805,16.8619,4.06,68,20,2.83,PL,1715142316
544,oban,56.4127,-5.4706,8.54,83,100,0.78,GB,1715142316
545,howrah,22.5892,88.3103,26.0,83,75,4.12,IN,1715142316
546,paphos,34.7667,32.4167,15.88,51,20,3.6,CY,1715142316
547,port saint john's,-31.6229,29.5448,21.44,84,14,7.65,ZA,1715142316
548,san cristobal,7.7669,-72.225,24.1,97,75,0.99,VE,1715142316
549,vapnyarka,48.5348,28.7436,6.05,70,100,5.4,UA,1715142317
550,muravlenko,63.7898,74.523,-0.25,99,100,5.67,RU,1715142317
551,vuktyl,63.8567,57.3094,-0.5,85,100,1.79,RU,1715142317
552,jalai nur,49.45,117.7,16.99,21,77,10.58,CN,1715142317
553,whangarei,-35.7317,174.3239,15.03,64,14,2.4,NZ,1715142212
554,new richmond,45.123,-92.5366,16.69,91,75,0.0,US,1715142318
555,dalnegorsk,44.5604,135.5701,16.45,95,12,0.89,RU,1715142318
556,north madison,38.7678,-85.3966,21.81,100,0,4.63,US,1715142318
557,brokopondo,4.75,-55.1667,25.2,92,98,3.87,SR,1715142318
558,lutterbach,47.7584,7.277,12.22,95,61,2.01,FR,1715142319
559,fada,9.5667,8.3,22.64,76,99,0.95,NG,1715142319
560,coxim,-18.5067,-54.76,22.52,58,10,1.68,BR,1715142319
561,viransehir,37.2353,39.7631,13.08,68,7,1.65,TR,1715142319
562,mutum,-19.8,-41.4383,19.65,91,2,1.04,BR,1715142319
563,palmer,42.1584,-72.3287,16.23,72,0,0.0,US,1715142320
564,boca chica,18.4537,-69.6111,25.26,94,20,2.06,DO,1715142320
565,teknaf,20.8624,92.3058,29.64,66,100,2.79,BD,1715142320
566,sidi bouzid,35.0382,9.4849,16.61,69,99,4.34,TN,1715142320
567,lauro de freitas,-12.8944,-38.3272,28.01,78,40,3.6,BR,1715142320
568,shima,24.4478,117.8111,30.01,75,100,1.39,CN,1715142320
569,porto novo,6.4965,2.6036,26.9,85,100,2.0,BJ,1715142321
570,oodweyne,9.4092,45.064,24.1,71,25,2.96,SO,1715142321
571,yesilova,37.5081,29.7547,5.7,44,96,0.53,TR,1715142321
572,mana,5.6592,-53.7767,26.24,84,100,4.47,GF,1715142321
573,san pedro pochutla,15.7333,-96.4667,25.58,77,84,2.6,MX,1715142322
574,kill devil hills,36.0307,-75.676,22.77,93,0,0.0,US,1715142322
575,novaya igirma,57.1334,103.9112,13.55,30,54,2.36,RU,1715142322
576,podgornoye,51.735,39.1496,5.92,81,40,7.0,RU,1715142322
577,harper,4.375,-7.7169,27.04,85,92,2.86,LR,1715142322
578,qaisumah,28.3112,46.1273,22.98,20,0,4.12,SA,1715142323
579,tokoroa,-38.2333,175.8667,14.41,51,3,0.6,NZ,1715142323
580,antsohihy,-14.8796,47.9875,25.14,67,5,4.52,MG,1715142323
